Pair,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O13,O14,O15,O16,O17,O18,O19,O20,average,sum
1,1.96,2.46,3.53,1.94,1.18,2.34,2.55,0.8,2.01,1.81,2.18,0.78,1.33,2.19,1.91,1.98,2.24,2,1.18,1.914210526,36.37
2,1.88,1.23,2.45,2.68,2.66,1.47,1.57,1.78,1.81,1.76,1.95,3.34,2.38,2.2,2.45,1.01,2.64,4.41,1.39,2.161052632,41.06
3,2.92,2.2,3.61,2.74,2.1,2.39,1.62,0.61,2.85,2.21,2,2.65,1.53,2.6,1.49,1.01,3,2.01,2.63,2.219473684,42.17
4,2.05,2.15,3.64,2.78,4.09,2.28,3.13,2.39,2,3.3,2.72,2.34,2.38,2.6,1.95,1.4,3.19,3,2.76,2.639473684,50.15
5,1.85,2.64,1.49,3.47,2.89,1.11,1.09,1.23,2.31,2.68,1.72,1.2,2,1.4,1.72,1.03,3.78,2.55,1.57,1.985789474,37.73
6,0.94,1.83,1.05,3.56,2.08,1.43,2.36,2.45,0.91,1.68,1.32,2.02,1.26,1.18,1.03,0.76,2.18,1.69,1.23,1.629473684,30.96
7,2.14,1.8,3.51,2.91,3.14,2.03,2.04,2.58,0.76,2.78,1.91,1.02,2.93,2.55,2.79,1.03,2.84,3.15,3.2,2.374210526,45.11
8,1.54,2.28,1.65,2.01,1.64,2.26,2.61,0.57,2.05,1.96,2.45,1.28,2.45,1.4,3.41,1.49,2,2.58,1.26,1.941578947,36.89
9,2.77,1.35,3.6,3.62,2.78,3.01,2,0.99,3.02,3.51,2.57,1.81,3.49,3.16,2.18,1.63,2.21,2.46,3,2.587368421,49.16
10,1.96,0.64,1.44,2.89,1.14,1.01,3.78,0.38,2.76,1.18,1.97,1.07,0.64,1.39,1.57,0.8,1.99,3.01,1.2,1.622105263,30.82
11,1.81,1.59,1.48,2.91,3.13,2.52,2.73,2.01,1.92,2.62,2.51,1.38,3.36,1.3,1.05,1.34,3.74,2.78,2.49,2.245789474,42.67
12,1.84,0.74,2.53,2.69,2.24,2.32,1.72,1.01,2.74,3.59,1.38,1.81,2,2.11,2.1,1.02,3.45,2.75,2.29,2.122631579,40.33
13,1.56,3.06,1.48,3.66,1.18,1.51,3.55,0.84,2.43,2.13,1.59,1.46,3.2,2.24,1.14,1.01,2.82,2.61,1.72,2.062631579,39.19
14,2.97,0.98,4.51,2.55,3.86,1.97,2.69,1.41,1.42,3.74,1.79,2.19,2.32,1.8,3.33,1.05,3.64,1.97,2.74,2.47,46.93
15,1.82,2.76,3.48,2.7,2.12,2.51,2.05,0.44,2.12,4.66,2.63,1.41,1.74,2,1.88,1.01,3.45,3.04,1.58,2.284210526,43.4
16,2.39,3.49,1.46,2.39,2.13,2.43,2.76,0.8,2.39,3.92,2.31,1.68,1.64,1.71,3.65,1.41,2.6,2.05,0.57,2.198947368,41.78
