Pair,new_average,cd00_deltaE2000,cd01_SdeltaE2000,cd02_colordif_mahalanobis,cd03_colorfulness_diff_Gao,cd04_color_SSIM,cd05_chroma_spread_extreme,cd06_colorhist_diff,cd07_weighted_deltaE,cd09_jncd_deltaE,cd10_deltaHS,cd12_shameCIELAB,cd13_cid,cd14_circular_hue,cd15_osa_ucsdE,cd16_Sosa_ucsdE,cd17_localdeltaE2000,cd20_cPSNRHA,cd21_vsi,cd22_SSIM,cd23_deltaEab
1,1.9142105263,7.9153171903,9.0133147658,1.0162395872,0.0185278638,2.182227748,0.0435994176,0.751282692,18.5247192306,4.3135111536,0.0167129078,21.3053245643,0.6522312397,0.6839029741,10.0754631369,10.7659104766,7.9225250063,16.3935781361,0.9670381087,0.378929179,9.9733139722
2,2.1610526316,8.3984003296,9.6768801897,1.138252406,0.0972087782,2.156854745,0.0508671786,0.8327045441,22.4950987393,5.0369766873,0.0171149574,27.462516594,0.7233974107,0.7379791089,10.5772115796,11.5732589891,8.4083314808,15.3764295235,0.9586118262,0.3136580859,10.5147683115
3,2.2194736842,9.7231674501,10.8342934456,1.1475800872,0.0174547409,2.1277551303,0.0498745245,0.7288722992,20.9551865938,5.8856573323,0.0141067185,29.8634973489,0.7675633883,0.7361966135,12.4908940832,13.5848327414,9.7349570257,14.5745319403,0.9623724228,0.3398287106,12.3703592485
4,2.6394736842,7.7164937426,8.6718699794,1.1567245862,0.1031842391,2.1448069185,0.0553662947,0.8519163132,14.1608353924,4.0531089358,0.010647155,21.0462425614,0.6331550107,0.617615963,10.5296300141,11.2247424552,7.7168965455,16.8491018403,0.9741251672,0.4520294421,9.9884894779
5,1.9857894737,7.3100295031,8.4923725096,0.894359807,0.0031995886,2.1834741247,0.0463609905,0.9019260406,14.3748785014,4.319107734,0.0111099707,16.7569051331,0.6308561943,0.6579850108,8.59210891,9.6381154857,7.3181401581,17.1744655433,0.9674843111,0.3490050759,8.9938103398
6,1.6294736842,7.6475241598,8.8751607438,0.8498753735,0.0102481725,2.1490820191,0.0461387746,0.8558807373,21.3137937412,5.1488777393,0.0045259808,22.9696743049,0.6432022854,0.6708402948,9.5928233713,10.5786677871,7.6523053167,15.4592331847,0.9608284393,0.3545897592,9.5619210911
7,2.3742105263,8.8239575535,10.0512578544,1.0700186126,0.1074569507,2.1421741181,0.0597602985,0.7859201431,23.253347864,5.2292497418,0.0216409382,29.5503384335,0.7409688033,0.7238950255,11.3832143715,12.4832840394,8.8341359577,14.782363711,0.9563670713,0.3121995844,11.3047936155
8,1.9415789474,8.5801954989,9.7679591953,1.1014795102,0.0889290869,2.1500206769,0.0458960471,0.7026901245,65.4578035667,5.1311659854,0.006589712,29.5554694056,0.7067938874,0.7267638187,11.3984287364,12.2417840456,8.5929501892,15.0199185045,0.9563395791,0.3348236005,10.7646117945
9,2.5873684211,10.2233346496,11.3635939184,1.2218018174,0.0142551523,2.1266599749,0.087011655,0.7629489899,23.6929765008,6.0344492138,0.0120803751,32.1844959974,0.7907483841,0.76617049,13.6169463219,14.4204750922,10.2328282354,13.4664212687,0.9482902817,0.3151831876,12.8721547638
10,1.6221052632,8.8701898967,10.115851074,1.3048822032,0.0786809143,2.1636022786,0.0531264259,0.7871417999,85.5634178889,5.2988370948,0.0034277666,42.5055640245,0.6931306447,0.737210405,10.8949363339,11.6533061271,8.8782488402,14.7301910802,0.9488016823,0.3053121925,11.0768127246
